Date,Aircraft,Origin,Destination,Departure,Arrival,Duration,Gate Departure(NST),Scheduled,Gate Arrival (EST),Scheduled.1,Is Weekend,Is Holiday,YYT weather,YYZ weather,Scheduled Arrival (EST),Actual Arrival (EST),Delayed,Delay Duration (min)
2025-02-10,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,Blowing Snow,Snow Showers,,,False,0.0
2025-02-08,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),08:02PM NST,10:22PM EST,03:50:00,07:40PM NST,05:25PM NST,10:34PM EST,07:48PM EST,1,0,Mainly Clear,Snow,2025-02-23 19:48:00,2025-02-23 22:34:00,True,166.0
2025-02-07,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:43PM NST,09:22PM EST,03:09:00,07:31PM NST,05:25PM NST,09:50PM EST,07:48PM EST,0,0,Cloudy,Mainly Clear,2025-02-23 19:48:00,2025-02-23 21:50:00,True,122.0
2025-02-06,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,07:52PM EST,03:14:00,05:41PM NST,05:25PM NST,08:03PM EST,07:48PM EST,0,0,Snow,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 20:03:00,True,15.0
2025-02-05,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:15PM NST,08:01PM EST,03:15:00,05:45PM NST,05:25PM NST,08:09PM EST,07:48PM EST,0,0,Blowing Snow,Mainly Clear,2025-02-23 19:48:00,2025-02-23 20:09:00,True,21.0
2025-02-03,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,Snow Showers,"Rain,Snow",,,False,0.0
2025-02-01,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:09PM NST,08:04PM EST,03:25:00,05:57PM NST,05:25PM NST,08:14PM EST,07:48PM EST,1,0,Cloudy,Mainly Clear,2025-02-23 19:48:00,2025-02-23 20:14:00,True,26.0
2025-01-31,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:47PM NST,07:54PM EST,03:37:00,05:23PM NST,05:25PM NST,08:00PM EST,07:48PM EST,0,0,Mostly Cloudy,Cloudy,2025-02-23 19:48:00,2025-02-23 20:00:00,True,12.0
2025-01-30,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,08:01PM EST,03:22:00,05:31PM NST,05:25PM NST,08:09PM EST,07:48PM EST,0,0,Snow,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 20:09:00,True,21.0
2025-01-29,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:55PM NST,08:38PM EST,03:13:00,06:43PM NST,05:25PM NST,08:49PM EST,07:48PM EST,0,0,Mostly Cloudy,Clear,2025-02-23 19:48:00,2025-02-23 20:49:00,True,61.0
2025-01-28,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:14PM NST,08:25PM EST,03:41:00,05:43PM NST,05:25PM NST,08:41PM EST,07:48PM EST,0,0,"Rain,Fog",Snow,2025-02-23 19:48:00,2025-02-23 20:41:00,True,53.0
2025-01-27,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:42PM NST,07:35PM EST,03:23:00,05:16PM NST,05:25PM NST,07:45PM EST,07:48PM EST,0,0,Mainly Clear,Cloudy,2025-02-23 19:48:00,2025-02-23 19:45:00,False,-3.0
2025-01-25,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:19PM NST,06:41PM EST,02:52:00,05:09PM NST,05:25PM NST,06:49PM EST,07:48PM EST,1,0,Mainly Clear,Mainly Clear,2025-02-23 19:48:00,2025-02-23 18:49:00,False,-59.0
2025-01-24,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:43PM NST,07:24PM EST,03:10:00,05:13PM NST,05:25PM NST,07:31PM EST,07:48PM EST,0,0,Mainly Clear,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 19:31:00,False,-17.0
2025-01-23,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:17PM NST,08:01PM EST,03:14:00,06:03PM NST,05:25PM NST,08:11PM EST,07:48PM EST,0,0,Mostly Cloudy,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 20:11:00,True,23.0
2025-01-22,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:53PM NST,07:44PM EST,03:21:00,05:31PM NST,05:25PM NST,07:52PM EST,07:48PM EST,0,0,Mostly Cloudy,Cloudy,2025-02-23 19:48:00,2025-02-23 19:52:00,True,4.0
2025-01-21,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:24PM NST,07:19PM EST,03:25:00,05:12PM NST,05:25PM NST,07:29PM EST,07:48PM EST,0,0,Mostly Cloudy,Mainly Clear,2025-02-23 19:48:00,2025-02-23 19:29:00,False,-19.0
2025-01-20,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:30PM NST,07:19PM EST,03:19:00,05:17PM NST,05:25PM NST,07:36PM EST,07:48PM EST,0,0,Mostly Cloudy,Mainly Clear,2025-02-23 19:48:00,2025-02-23 19:36:00,False,-12.0
2025-01-18,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:41PM NST,07:26PM EST,03:14:00,05:16PM NST,05:25PM NST,07:35PM EST,07:48PM EST,1,0,Clear,Mainly Clear,2025-02-23 19:48:00,2025-02-23 19:35:00,False,-13.0
2025-01-17,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:15PM NST,07:49PM EST,03:03:00,05:48PM NST,05:25PM NST,07:56PM EST,07:48PM EST,0,0,Cloudy,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 19:56:00,True,8.0
2025-01-16,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:02PM NST,07:31PM EST,02:58:00,05:38PM NST,05:25PM NST,07:41PM EST,07:48PM EST,0,0,Cloudy,Snow,2025-02-23 19:48:00,2025-02-23 19:41:00,False,-7.0
2025-01-15,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:44PM NST,07:05PM EST,02:50:00,05:16PM NST,05:25PM NST,07:11PM EST,07:48PM EST,0,0,Mostly Cloudy,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 19:11:00,False,-37.0
2025-01-14,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:46PM NST,07:12PM EST,02:55:00,05:21PM NST,05:25PM NST,07:19PM EST,07:48PM EST,0,0,Mostly Cloudy,Mainly Clear,2025-02-23 19:48:00,2025-02-23 19:19:00,False,-29.0
2025-01-13,B38M,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,Snow,Snow,,,False,0.0
2025-01-11,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,07:31PM EST,02:53:00,05:37PM NST,05:25PM NST,07:41PM EST,07:48PM EST,1,0,Snow Showers,Mostly Cloudy,2025-02-23 19:48:00,2025-02-23 19:41:00,False,-7.0
