Date,Aircraft,Origin,Destination,Takoff,Landing,Duration,Gate Departure,Gate Arrival,Schedule_gd,Scheduled_ga,Is Weekend,Is Holiday,Delay (min),Is Delayed,dep_Blowing Snow,arr_Blowing Snow,dep_Clear,arr_Clear,dep_Cloudy,arr_Cloudy,dep_Drizzle,arr_Drizzle,dep_Fog,arr_Fog,dep_Freezing Drizzle,arr_Freezing Drizzle,dep_Freezing Fog,arr_Freezing Fog,dep_Mainly Clear,arr_Mainly Clear,dep_Moderate Rain,arr_Moderate Rain,dep_Moderate Snow,arr_Moderate Snow,dep_Mostly Cloudy,arr_Mostly Cloudy,dep_Rain,arr_Rain,dep_Rain Showers,arr_Rain Showers,dep_Snow,arr_Snow,dep_Snow Grains,arr_Snow Grains,dep_Snow Showers,arr_Snow Showers
2025-02-10,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-02-08,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),08:02PM NST,10:22PM EST,3:50:00,07:40PM NST,10:34PM EST,05:25PM NST,07:48PM EST,1,0,166,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-07,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:43PM NST,09:22PM EST,3:09:00,07:31PM NST,09:50PM EST,05:25PM NST,07:48PM EST,0,0,122,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-06,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,07:52PM EST,3:14:00,05:41PM NST,08:03PM EST,05:25PM NST,07:48PM EST,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-02-05,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:15PM NST,08:01PM EST,3:15:00,05:45PM NST,08:09PM EST,05:25PM NST,07:48PM EST,0,0,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-02-03,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-02-01,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:09PM NST,08:04PM EST,3:25:00,05:57PM NST,08:14PM EST,05:25PM NST,07:48PM EST,1,0,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-31,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:47PM NST,07:54PM EST,3:37:00,05:23PM NST,08:00PM EST,05:25PM NST,07:48PM EST,0,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-30,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,08:01PM EST,3:22:00,05:31PM NST,08:09PM EST,05:25PM NST,07:48PM EST,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-01-29,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:55PM NST,08:38PM EST,3:13:00,06:43PM NST,08:49PM EST,05:25PM NST,07:48PM EST,0,0,61,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-28,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:14PM NST,08:25PM EST,3:41:00,05:43PM NST,08:41PM EST,05:25PM NST,07:48PM EST,0,0,53,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2025-01-27,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:42PM NST,07:35PM EST,3:23:00,05:16PM NST,07:45PM EST,05:25PM NST,07:48PM EST,0,0,-3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-25,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:19PM NST,06:41PM EST,2:52:00,05:09PM NST,06:49PM EST,05:25PM NST,07:48PM EST,1,0,-59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-24,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:43PM NST,07:24PM EST,3:10:00,05:13PM NST,07:31PM EST,05:25PM NST,07:48PM EST,0,0,-17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-23,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:17PM NST,08:01PM EST,3:14:00,06:03PM NST,08:11PM EST,05:25PM NST,07:48PM EST,0,0,23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-22,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:53PM NST,07:44PM EST,3:21:00,05:31PM NST,07:52PM EST,05:25PM NST,07:48PM EST,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-21,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:24PM NST,07:19PM EST,3:25:00,05:12PM NST,07:29PM EST,05:25PM NST,07:48PM EST,0,0,-19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:30PM NST,07:19PM EST,3:19:00,05:17PM NST,07:36PM EST,05:25PM NST,07:48PM EST,0,0,-12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-18,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:41PM NST,07:26PM EST,3:14:00,05:16PM NST,07:35PM EST,05:25PM NST,07:48PM EST,1,0,-13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-17,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:15PM NST,07:49PM EST,3:03:00,05:48PM NST,07:56PM EST,05:25PM NST,07:48PM EST,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-16,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:02PM NST,07:31PM EST,2:58:00,05:38PM NST,07:41PM EST,05:25PM NST,07:48PM EST,0,0,-7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-15,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:44PM NST,07:05PM EST,2:50:00,05:16PM NST,07:11PM EST,05:25PM NST,07:48PM EST,0,0,-37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-14,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:46PM NST,07:12PM EST,2:55:00,05:21PM NST,07:19PM EST,05:25PM NST,07:48PM EST,0,0,-29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-13,B38M,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-01-11,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,07:31PM EST,2:53:00,05:37PM NST,07:41PM EST,05:25PM NST,07:48PM EST,1,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-01-10,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:48PM NST,07:13PM EST,2:55:00,05:16PM NST,07:29PM EST,05:25PM NST,07:48PM EST,0,0,-19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2025-01-09,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:51PM NST,07:11PM EST,2:50:00,05:27PM NST,07:17PM EST,05:25PM NST,07:48PM EST,0,0,-31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-08,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:53PM NST,07:10PM EST,2:46:00,05:24PM NST,07:19PM EST,05:25PM NST,07:48PM EST,0,0,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
